app,config,shape,batch,run,stage,cycles
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,prep,17581
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,forward,105598
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,pred_metric,16710
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,loss,1295
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,zero_d_input,2882
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,backward_d_input,1190944
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,backward_d_bias,862
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,backward_d_weights,514638
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,backward_total,1927948
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,update,667429
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,1,backward_wrapper,2729936
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,prep,17589
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,forward,105481
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,pred_metric,16650
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,loss,1340
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,zero_d_input,2815
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,backward_d_input,1194642
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,backward_d_bias,874
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,backward_d_weights,515101
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,backward_total,1931989
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,update,668136
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,2,backward_wrapper,2735095
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,prep,17524
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,forward,105164
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,pred_metric,16703
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,loss,1349
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,zero_d_input,2848
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,backward_d_input,1189697
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,backward_d_bias,853
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,backward_d_weights,514701
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,backward_total,1925999
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,update,667924
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,3,backward_wrapper,2728641
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,precomputation,653630
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,prep,283950
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,forward,2830096
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,loss,2331270
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,zero_d_input,31855
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,backward,2925812
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,update,2135
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,bwd_d_input,2870168
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,bwd_d_bias,17435
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,bwd_d_weights_im2col,69
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,bwd_d_weights_total,36464
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,1,bwd_breakdown_total,2924067
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,precomputation,653510
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,prep,284672
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,forward,2829517
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,loss,2331544
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,zero_d_input,31691
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,backward,2930684
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,update,2095
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,bwd_d_input,2873937
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,2,bwd_d_bias,18488
