app,config,shape,batch,stage,run1,run2,run3,median,spread_pct
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,prep,17581,17589,17524,17581,0.37
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,forward,105598,105481,105164,105481,0.411
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,pred_metric,16710,16650,16703,16703,0.359
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,loss,1295,1340,1349,1340,4.03
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,zero_d_input,2882,2815,2848,2848,2.353
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,backward_d_input,1190944,1194642,1189697,1190944,0.415
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,backward_d_bias,862,874,853,862,2.436
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,backward_d_weights,514638,515101,514701,514701,0.09
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,backward_total,1927948,1931989,1925999,1927948,0.311
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,update,667429,668136,667924,667924,0.106
fc_layer16only,L4_V2048_LLC128K,fc1_1536x192,4,backward_wrapper,2729936,2735095,2728641,2729936,0.236
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,precomputation,653630,653510,653570,653570,0.018
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,prep,283950,284672,284034,284034,0.254
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,forward,2830096,2829517,2829463,2829517,0.022
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,loss,2331270,2331544,2331922,2331544,0.028
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,zero_d_input,31855,31691,31540,31691,0.994
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,backward,2925812,2930684,2929005,2929005,0.166
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,update,2135,2095,2147,2135,2.436
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,bwd_d_input,2870168,2873937,2872376,2872376,0.131
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,bwd_d_bias,17435,18488,18197,18197,5.787
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,bwd_d_weights_im2col,69,69,69,69,0.0
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,bwd_d_weights_total,36464,36515,36595,36515,0.359
conv_layer16only,L4_V2048_LLC128K,conv2_12x12_32x32_k3,4,bwd_breakdown_total,2924067,2928940,2927168,2927168,0.166
